,Name,Year,Transmission,Owner_Type,Engine (CC),Power (bhp),Price
60,1772,2017.0,1,0,2393.0,147.8,16.5
61,329,2010.0,1,0,1399.0,68,2.75
62,1314,2015.0,0,0,1796.0,186,26.7
63,1302,2011.0,1,2,2148.0,170,10.0
64,1577,2016.0,1,0,1396.0,69,2.5
65,11,2012.0,0,0,1968.0,140,13.5
66,431,2007.0,0,2,1497.0,78,1.85
67,1241,2019.0,0,0,1950.0,194,35.67
68,1057,2016.0,1,0,1248.0,88.5,8.15
69,509,2018.0,1,0,1396.0,88.7,10.5
70,1417,2008.0,0,0,4806.0,500,14.5
71,925,2015.0,1,0,2179.0,140,9.65
72,707,2012.0,0,0,1197.0,78.9,3.48
73,1410,2015.0,1,0,1461.0,108.5,6.92
74,396,2016.0,0,2,1198.0,86.8,6.46
75,24,2014.0,0,2,1968.0,187.74,29.5
76,284,2008.0,1,0,1399.0,132,2.0
77,1742,2006.0,1,3,1998.0,132,4.5
78,1765,2012.0,1,0,2494.0,102,11.75
79,601,2005.0,1,0,1086.0,74,1.3
80,1159,2012.0,1,0,1248.0,74,3.75
81,1666,2017.0,1,0,1193.0,88.7,4.5
82,371,2016.0,1,0,1198.0,86.7,4.82
83,330,2012.0,1,0,1399.0,68,2.8
84,1092,2013.0,1,0,1248.0,73.94,3.11
85,447,2009.0,1,0,1497.0,117.3,3.25
86,97,2011.0,0,2,1995.0,218,13.9
87,706,2009.0,1,0,1197.0,78.9,2.25
88,577,2016.0,1,0,1197.0,82,5.75
89,605,2007.0,1,0,1086.0,86.7,2.1
90,371,2016.0,1,0,1198.0,86.7,5.0
91,1736,2014.0,1,0,2982.0,168.5,16.5
92,31,2018.0,0,0,1968.0,174.33,39.58
93,258,2013.0,1,0,1498.0,89.84,5.5
94,924,2014.0,1,0,2179.0,140,8.1
95,370,2015.0,1,0,1498.0,98.6,3.5
96,1824,2013.0,1,0,1199.0,73.9,2.79
97,656,2010.0,1,0,1493.0,110,3.45
98,1211,2016.0,1,0,998.0,67.1,4.45
99,1833,2010.0,1,0,1598.0,103.5,2.65
100,726,2011.0,1,2,1396.0,90,3.8
101,750,2014.0,1,0,1197.0,82.85,4.65
102,204,2017.0,1,0,1198.0,67,3.95
103,15,2010.0,0,0,2967.0,241.4,9.8
104,733,2009.0,1,2,1197.0,80,2.7
105,1079,2010.0,1,0,796.0,35,2.41
106,1714,2014.0,1,0,1197.0,78.9,3.9
107,780,2011.0,0,2,2993.0,270.9,24.0
108,924,2012.0,1,2,2179.0,140,5.75
109,634,2014.0,0,0,1582.0,126.32,5.25
110,1779,2017.0,0,0,2755.0,171.5,19.25
111,1050,2017.0,1,0,1196.0,73,3.91
112,1623,2014.0,1,0,624.0,37.5,2.15
113,79,2015.0,0,0,1995.0,190,20.75
114,466,2010.0,1,0,1799.0,130,3.35
115,1761,2014.0,1,0,2494.0,100.6,11.11
116,1867,2014.0,0,0,1984.0,150,20.0
117,1385,2016.0,0,0,1198.0,75.94,6.55
118,103,2009.0,0,0,2497.0,215,7.0
119,1180,2016.0,1,0,1248.0,88.5,7.5
120,604,2005.0,1,2,1086.0,107.3,0.85
121,1240,2014.0,0,2,2143.0,107.3,16.75
122,650,2018.0,1,0,1582.0,126.2,10.95
123,1197,2011.0,1,0,998.0,67.1,2.45
124,1625,2017.0,0,0,624.0,37.48,3.23
125,889,2014.0,1,0,2179.0,120,7.75
126,1304,2009.0,0,0,1796.0,178,9.35
127,1200,2013.0,1,0,998.0,58.16,3.25
128,402,2007.0,1,2,2354.0,152,5.25
129,1839,2015.0,0,0,1498.0,103.2,7.25
130,1030,2017.0,1,0,1373.0,91.1,7.47
131,914,2016.0,0,0,2179.0,140,13.25
132,1094,2016.0,1,0,1197.0,85.8,5.81
133,965,2014.0,1,0,998.0,67.1,2.6
134,1342,2017.0,0,0,2996.0,362.07,54.0
135,662,2019.0,0,0,1591.0,121.3,11.5
136,972,2010.0,1,2,796.0,46.3,1.6
137,70,2015.0,0,0,1995.0,143,17.22
138,474,2015.0,0,0,1199.0,88.7,6.0
139,466,2012.0,1,0,1799.0,130,3.95
140,1318,2014.0,0,0,2143.0,170,17.95
141,370,2014.0,1,0,1498.0,98.6,3.7
142,1164,2016.0,1,0,1197.0,81.8,5.43
143,607,2008.0,1,3,1086.0,171,1.67
144,1731,2012.0,1,0,2982.0,171,13.49
145,171,2014.0,1,0,1199.0,76.8,2.85
146,1517,2013.0,1,0,1498.0,103.52,4.75
147,1019,2018.0,1,0,1373.0,91.1,9.9
148,67,2013.0,0,0,2894.0,444,37.0
149,93,2014.0,0,0,1995.0,190,26.5
150,8,2015.0,0,0,1968.0,174.33,23.32
151,1159,2016.0,1,0,1248.0,74,6.25
152,1337,2010.0,0,0,5461.0,362.9,30.0
153,1513,2016.0,0,0,1498.0,103.52,9.86
154,1550,2012.0,0,0,1968.0,138.1,8.5
155,532,2019.0,1,0,814.0,55.2,4.23
156,1825,2012.0,1,0,1199.0,73.9,3.5
157,201,2016.0,1,0,1198.0,67.06,2.5
158,391,2013.0,1,0,1198.0,86.8,2.39
159,1239,2013.0,0,0,1595.0,120.7,11.25
160,437,2015.0,1,0,1498.0,98.6,7.11
161,1745,2016.0,1,0,2494.0,100.6,10.9
162,1169,2017.0,1,0,1197.0,81.8,6.2
163,924,2012.0,1,0,2179.0,140,7.9
164,256,2014.0,1,0,1498.0,89.84,4.42
165,1736,2012.0,1,0,2982.0,168.5,13.5
166,1837,2013.0,0,0,1498.0,108.5,6.25
167,329,2010.0,1,2,1399.0,68,2.1
168,149,2015.0,0,0,2993.0,258,45.0
169,1323,2017.0,0,0,2143.0,167.62,33.66
170,394,2012.0,1,2,1198.0,86.8,3.65
171,698,2013.0,1,0,1197.0,78.9,2.75
172,1288,2016.0,0,0,2143.0,81.86,42.5
173,557,2019.0,1,0,1197.0,81.86,6.5
174,28,2012.0,0,2,1968.0,174.33,19.0
175,1856,2013.0,0,2,1598.0,103.6,4.45
176,1355,2017.0,0,2,1998.0,112,23.0
177,751,2014.0,1,0,1396.0,88.73,8.35
178,28,2014.0,0,0,1968.0,174.33,22.95
179,167,2012.0,1,0,936.0,57.6,1.5
180,1548,2012.0,0,0,1798.0,157.75,6.89
181,287,2006.0,1,2,1399.0,68,1.45
182,109,2014.0,0,0,1995.0,190,33.5
183,186,2007.0,1,0,1598.0,102.5,1.25
184,1824,2012.0,1,0,1199.0,73.9,4.2
185,1462,2015.0,1,0,1461.0,108.5,6.75
186,1274,2014.0,0,0,2143.0,201.1,32.0
187,976,2017.0,1,0,1197.0,83.1,7.5
188,633,2012.0,1,0,1582.0,126.32,4.6
189,695,2017.0,1,0,1086.0,68.05,4.04
190,863,2016.0,1,0,1997.0,120,10.31
191,811,2018.0,0,0,2179.0,187.7,55.76
192,330,2010.0,1,0,1399.0,68,2.6
193,1064,2016.0,1,0,1248.0,88.5,8.5
194,417,2007.0,1,0,1498.0,98.6,2.95
195,367,2014.0,1,0,1498.0,98.6,3.5
196,694,2015.0,1,0,1197.0,78.9,3.55
197,367,2013.0,1,0,1498.0,98.6,3.25
198,1482,2008.0,1,0,1896.0,106,4.5
199,1440,2014.0,1,0,1461.0,83.8,5.35
200,854,2017.0,1,2,1493.0,100,6.5
201,1185,2016.0,1,0,1248.0,88.5,9.0
202,753,2016.0,1,0,1197.0,81.83,6.0
203,1475,2009.0,1,0,1390.0,85,2.75
204,1599,2010.0,1,0,1193.0,64.1,1.5
205,44,2015.0,0,0,1968.0,174.33,19.9
206,1502,2014.0,0,0,1798.0,177.5,10.0
207,1720,2014.0,1,0,1364.0,67.06,3.0
208,1120,2010.0,1,0,1595.0,120.7,2.11
209,1239,2014.0,0,0,1595.0,120.7,11.96
210,364,2013.0,1,0,1498.0,98.6,3.25
211,633,2012.0,1,2,1582.0,126.32,4.75
212,1443,2014.0,1,0,1461.0,83.8,5.95
213,522,2015.0,1,2,1591.0,67,8.15
214,1186,2016.0,0,0,998.0,67,4.22
215,1329,2010.0,0,0,1796.0,186,10.5
216,39,2012.0,0,0,2967.0,246.7,45.0
217,695,2012.0,1,2,1086.0,68.05,2.9
218,1525,2017.0,0,0,1598.0,103.52,8.9
219,1553,2017.0,0,0,1798.0,177.46,26.0
220,740,2018.0,1,0,1197.0,81.86,8.22
221,378,2014.0,1,2,1498.0,98.6,3.5
222,1196,2004.0,1,2,998.0,67.1,1.25
223,910,2013.0,1,0,1461.0,65,3.7
224,1325,2018.0,0,0,2143.0,167.62,39.41
225,1207,2013.0,1,0,998.0,67.04,2.65
226,1412,2015.0,1,2,1461.0,108.5,8.92
227,1160,2013.0,1,0,1248.0,189.08,4.1
228,1350,2017.0,0,0,1998.0,189.08,35.67
229,324,2015.0,1,0,1498.0,99,3.6
230,1573,2007.0,1,2,1396.0,53.5,0.85
231,170,2016.0,1,2,1199.0,76.8,3.32
232,1823,2012.0,1,0,1199.0,73.9,3.6
233,1173,2016.0,1,0,1248.0,74,6.8
234,326,2012.0,1,0,1399.0,68.05,2.5
235,1777,2019.0,0,0,2755.0,171.5,19.64
236,582,2011.0,0,2,2199.0,194.3,7.0
237,459,2011.0,1,0,1497.0,117.3,3.87
238,715,2018.0,1,0,1197.0,81.83,6.27
239,1325,2015.0,0,0,2143.0,167.62,18.12
240,167,2013.0,1,0,936.0,57.6,2.65
241,765,2015.0,1,0,1396.0,88.73,7.2
242,1766,2015.0,1,0,2494.0,100.6,14.3
243,1059,2013.0,1,0,1248.0,88.76,6.9
244,1759,2014.0,1,0,2494.0,102,10.75
245,607,2007.0,1,3,1086.0,117.3,0.95
246,450,2016.0,1,0,1497.0,117.3,8.09
247,135,2014.0,0,0,1995.0,184,18.5
248,568,2017.0,1,0,1120.0,70,4.75
249,1016,2016.0,1,0,1248.0,88.5,8.45
250,1537,2012.0,1,0,1598.0,103.6,3.5
251,500,2006.0,1,0,1493.0,82,1.8
252,1826,2014.0,1,2,1498.0,103.6,3.7
253,476,2017.0,1,0,1199.0,88.7,7.17
254,691,2010.0,1,0,1086.0,68.05,1.75
255,616,2018.0,0,0,1995.0,183,21.99
256,1775,2017.0,1,0,2393.0,147.8,18.65
257,1084,2011.0,1,3,796.0,35,1.85
258,1168,2017.0,1,2,1197.0,81.8,5.95
259,574,2014.0,1,0,1248.0,82,3.75
260,1159,2012.0,1,0,1248.0,74,3.75
261,649,2008.0,1,0,1582.0,126.2,2.6
262,601,2006.0,1,0,1086.0,80,1.75
263,716,2010.0,1,0,1197.0,80,2.8
264,1294,2017.0,0,0,2987.0,254.79,61.29
265,1320,2014.0,1,2,2148.0,170,18.0
266,1096,2014.0,1,0,1248.0,73.94,4.35
267,511,2016.0,1,0,1582.0,126.2,13.75
268,950,2010.0,1,0,998.0,66.1,2.0
269,1430,2016.0,1,0,1461.0,108.45,10.0
270,213,2010.0,1,0,1248.0,76,1.65
271,145,2017.0,0,0,2993.0,258,45.77
272,704,2010.0,1,2,1197.0,78.9,3.25
273,1750,2016.0,1,0,2494.0,102,12.8
274,1233,2002.0,1,3,993.0,60,0.55
275,1159,2018.0,1,0,1248.0,74,7.15
276,890,2013.0,1,2,2179.0,120,7.0
277,1662,2017.0,1,0,1248.0,74,3.75
278,236,2017.0,1,0,999.0,123.24,8.5
279,1143,2012.0,1,0,1248.0,74,4.35
280,956,2016.0,1,0,796.0,47.3,3.26
281,419,2011.0,1,0,1497.0,118,4.21
282,59,2018.0,0,0,2967.0,241.4,70.36
283,1479,2009.0,0,2,1896.0,105,2.95
284,637,2012.0,1,0,1591.0,121.3,4.28
285,420,2009.0,0,0,1497.0,118,3.57
286,763,2013.0,1,0,1396.0,88.8,3.11
287,766,2014.0,0,0,1396.0,98.6,5.96
288,1848,2011.0,1,0,1598.0,103.6,4.7
289,451,2014.0,1,0,1497.0,117.3,6.9
290,1662,2018.0,1,0,1248.0,74,5.25
291,95,2015.0,0,0,1995.0,177,28.0
292,1203,2009.0,1,0,1061.0,67,1.35
293,488,2015.0,1,0,1199.0,88.7,4.85
294,1801,2012.0,1,0,1896.0,105,6.7
295,698,2010.0,1,0,1197.0,78.9,3.1
296,1318,2015.0,0,0,2143.0,170,18.64
297,699,2012.0,1,0,1197.0,78.9,2.8
298,1775,2016.0,1,0,2393.0,147.8,20.25
299,29,2015.0,0,0,1968.0,174.33,26.78
300,1761,2010.0,1,2,2494.0,100.6,8.26
301,1834,2015.0,1,0,1198.0,73.9,3.89
302,961,2011.0,1,0,998.0,67.1,2.1
303,457,2017.0,0,0,1497.0,70,12.69
304,1594,2013.0,1,0,1405.0,70,2.58
305,28,2014.0,0,0,1968.0,174.33,20.77
306,1283,2015.0,0,0,2143.0,136,20.26
307,601,2006.0,1,2,1086.0,67.04,1.5
308,1160,2011.0,1,0,1248.0,67.04,2.5
309,1005,2014.0,0,0,998.0,67.04,4.25
310,1293,2017.0,0,0,2143.0,201.15,57.0
311,820,2017.0,0,0,2179.0,187.7,44.0
312,1849,2011.0,1,0,1598.0,103.6,3.65
313,1081,2012.0,1,0,796.0,35,2.05
314,388,2012.0,1,0,1198.0,86.8,3.13
315,1644,2000.0,1,2,2956.0,83.1,1.5
316,1580,2012.0,1,0,1248.0,75,2.85
317,1197,2012.0,1,0,998.0,67.1,2.65
318,925,2015.0,1,0,2179.0,140,10.6
319,1593,2008.0,1,2,1396.0,70,1.25
320,1056,2018.0,1,0,1373.0,93.7,8.25
321,346,2011.0,0,0,2354.0,177.6,4.45
322,1137,2012.0,1,0,1248.0,73.9,3.7
323,302,2009.0,1,0,1399.0,68,2.8
324,433,2008.0,1,0,1497.0,78,1.8
325,28,2014.0,0,0,1968.0,174.33,21.95
326,119,2011.0,0,0,2993.0,313,49.0
327,66,2017.0,0,0,2967.0,245,62.67
328,1225,2008.0,1,0,998.0,67.1,1.4
329,724,2012.0,1,0,1396.0,90,5.5
330,708,2009.0,0,3,1197.0,78.9,2.95
331,474,2016.0,0,0,1199.0,88.7,6.86
332,1160,2015.0,1,0,1248.0,74,6.15
333,750,2011.0,1,2,1197.0,82.85,3.3
334,1831,2011.0,1,0,1198.0,73.9,2.55
335,970,2009.0,1,0,796.0,46.3,1.5
336,1703,2004.0,0,2,1794.0,125,2.5
337,970,2006.0,1,2,796.0,46.3,1.4
338,1614,2012.0,1,0,1248.0,88.8,3.4
339,970,2012.0,1,0,796.0,46.3,2.25
340,1500,2013.0,0,0,1968.0,141,7.5
341,1703,2008.0,0,0,1794.0,125,2.8
342,753,2016.0,1,0,1197.0,81.83,7.66
343,1178,2016.0,1,0,1248.0,88.5,7.15
344,423,2010.0,1,0,1497.0,118,3.5
345,1579,2014.0,1,2,1248.0,75,3.5
346,367,2013.0,1,0,1498.0,98.6,3.45
347,526,2016.0,1,0,814.0,55.2,3.55
348,93,2015.0,0,2,1995.0,190,25.99
349,633,2012.0,1,0,1582.0,126.32,5.25
350,1612,2013.0,1,0,1248.0,88.8,2.9
351,1506,2005.0,0,0,1984.0,227,2.05
352,965,2017.0,1,0,998.0,67.1,3.75
353,258,2014.0,1,0,1498.0,89.84,6.75
354,197,2011.0,1,2,995.0,62,0.95
355,777,2017.0,0,0,1999.0,177,52.0
356,408,2007.0,1,3,1997.0,141.1,3.91
357,1551,2019.0,0,0,1798.0,177.46,27.3
358,698,2009.0,1,0,1197.0,78.9,2.7
359,1147,2013.0,1,0,1248.0,74,3.5
360,1141,2011.0,0,0,1197.0,83.14,6.2
361,1378,2011.0,1,0,1461.0,63.1,2.75
362,1134,2015.0,1,0,1248.0,74,3.25
363,297,2012.0,1,0,1399.0,67,3.25
364,1227,2003.0,1,0,993.0,60,0.65
365,1345,2017.0,1,0,1998.0,192,35.0
366,1712,2014.0,1,0,1364.0,67.05,3.25
367,952,2018.0,1,0,796.0,47.3,2.9
368,974,2011.0,1,3,796.0,47,2.9
369,147,2009.0,0,2,2993.0,235,17.75
370,1401,2015.0,0,2,2496.0,179.5,8.25
371,563,2015.0,0,0,1197.0,82,5.77
372,1183,2017.0,1,0,1248.0,88.5,9.49
373,58,2008.0,0,3,2967.0,241.4,12.95
374,1282,2015.0,0,0,2143.0,136,20.0
375,941,2007.0,1,3,796.0,37,1.0
376,1440,2015.0,1,2,1461.0,83.8,7.1
377,1688,2017.0,1,0,1364.0,87.2,16.5
378,1306,2014.0,1,0,2148.0,170,26.0
379,1092,2010.0,1,2,1248.0,73.9,3.2
380,383,2017.0,0,0,1497.0,117.3,9.48
381,667,2015.0,1,0,1120.0,71,4.0
382,1254,2014.0,0,0,2143.0,203,26.5
383,1239,2014.0,0,2,1595.0,120.7,11.77
384,1262,2017.0,0,0,2143.0,204,37.0
385,452,2016.0,1,0,1497.0,117.3,8.75
386,604,2007.0,1,0,1086.0,118,1.95
387,419,2011.0,1,0,1497.0,118,3.75
388,658,2010.0,1,0,1599.0,103.2,2.5
389,776,2017.0,0,0,1999.0,246.74,34.5
390,369,2015.0,1,0,1198.0,86.7,4.65
391,1349,2015.0,0,0,1598.0,122,32.0
392,1335,2017.0,0,0,2987.0,282,62.81
393,532,2014.0,1,0,814.0,55.2,3.25
394,1211,2014.0,1,0,998.0,67.04,3.1
395,1088,2011.0,1,0,1248.0,73.9,3.91
396,83,2011.0,0,0,1995.0,181,11.0
397,1659,2014.0,1,0,2179.0,138.03,3.5
398,1,2014.0,0,0,1968.0,143,16.5
399,811,2012.0,0,0,2179.0,187.7,30.0
400,1280,2010.0,0,2,2987.0,224,28.0
401,1368,2018.0,0,0,2477.0,175.56,28.0
402,967,2010.0,1,0,796.0,46.3,0.92
403,1199,2013.0,1,0,1061.0,64,2.75
404,812,2017.0,0,0,2179.0,187.7,53.83
405,636,2011.0,1,2,1591.0,121.3,4.95
406,113,2013.0,0,0,2993.0,218,33.5
407,782,2013.0,0,0,2993.0,270.9,27.95
408,1548,2010.0,0,0,1798.0,157.75,7.25
409,46,2017.0,0,0,1968.0,174.33,25.71
410,813,2014.0,0,0,2179.0,187.7,29.67
411,1307,2013.0,0,0,2143.0,170,19.0
412,877,2017.0,1,0,2179.0,120,13.05
413,93,2015.0,0,0,1995.0,190,25.5
414,382,2017.0,1,0,1497.0,117.3,8.5
415,1865,2010.0,0,2,2400.0,215,7.25
416,503,2005.0,1,0,1495.0,94,0.8
417,746,2017.0,1,0,1197.0,81.86,6.9
418,1292,2018.0,0,0,2996.0,367,70.99
419,532,2015.0,1,2,814.0,55.2,2.25
420,576,2018.0,1,0,1197.0,81.86,5.5
421,416,2013.0,1,0,1493.0,100,4.35
422,1834,2010.0,1,0,1198.0,73.9,2.25
423,36,2016.0,1,0,1798.0,187.74,24.5
424,1799,2010.0,1,0,1968.0,121.3,5.45
425,519,2017.0,1,0,1591.0,121.3,12.03
426,1314,2011.0,0,2,1796.0,186,8.5
427,1350,2014.0,0,0,1998.0,189.08,28.5
428,607,2006.0,1,2,1086.0,67.04,1.2
429,1724,2013.0,1,0,1364.0,67.04,5.75
430,391,2014.0,1,2,1198.0,86.8,3.2
431,979,2018.0,0,0,1197.0,83.1,9.89
432,1483,2012.0,0,0,1968.0,138.1,6.58
433,529,2018.0,1,0,814.0,55.2,4.06
434,1429,2019.0,1,0,1461.0,108.45,13.37
435,101,2011.0,0,0,2993.0,258,25.82
436,956,2016.0,1,0,796.0,47.3,3.74
437,1868,2015.0,0,2,1984.0,150,22.0
438,1198,2007.0,1,0,998.0,67.1,1.45
439,433,2008.0,1,0,1497.0,78,2.0
440,1049,2017.0,1,0,1196.0,73,4.7
441,179,2014.0,1,0,1399.0,98.79,3.75
442,833,2016.0,1,0,2523.0,62.1,7.7
443,586,2012.0,1,0,1086.0,55.2,3.35
444,525,2014.0,1,0,814.0,55.2,2.6
445,520,2017.0,0,0,1591.0,103.5,13.77
446,1843,2017.0,1,2,1598.0,103.5,7.1
447,463,2008.0,0,2,1799.0,130,2.65
448,1582,2014.0,1,0,1248.0,74,2.5
449,924,2013.0,1,0,2179.0,140,7.53
450,711,2017.0,1,0,1197.0,81.83,7.98
451,57,2014.0,0,2,1968.0,174.3,39.0
452,1095,2011.0,1,2,1197.0,85.8,2.25
453,1356,2010.0,1,2,1999.0,114,3.85
454,1759,2015.0,1,0,2494.0,102,13.5
455,1000,2016.0,1,0,793.0,47,3.5
456,1104,2018.0,1,0,1248.0,88.5,8.92
457,47,2016.0,0,0,1968.0,181,20.37
458,93,2016.0,0,0,1995.0,190,36.5
459,64,2016.0,0,0,4134.0,335.2,48.91
460,734,2016.0,1,0,1197.0,81.83,7.2
461,1432,2012.0,1,0,1461.0,108.45,5.99
462,669,2016.0,1,0,1120.0,71,5.25
463,257,2014.0,1,0,1498.0,89.84,6.5
464,1834,2013.0,1,0,1198.0,73.9,4.4
465,569,2017.0,1,0,1120.0,70,4.6
466,1605,2013.0,1,0,1248.0,88.8,2.95
467,423,2011.0,1,0,1497.0,118,3.26
468,597,2008.0,1,2,1086.0,62.1,2.22
469,1761,2012.0,1,0,2494.0,100,10.5
470,1017,2017.0,1,0,1248.0,88.5,8.26
471,1739,2013.0,1,0,2982.0,169,14.45
472,292,2009.0,1,2,1596.0,191.34,2.5
473,1272,2018.0,0,0,1950.0,191.34,51.43
474,1308,2014.0,1,0,2148.0,170,23.0
475,1556,2012.0,1,0,1968.0,108.49,5.5
476,577,2015.0,1,0,1197.0,82,4.5
477,308,2018.0,1,0,1196.0,86.8,6.8
478,1497,2013.0,1,0,1395.0,138.02,8.75
479,1442,2015.0,1,2,1461.0,83.8,7.0
480,819,2015.0,0,2,1999.0,177,33.5
481,326,2011.0,1,2,1399.0,68,2.25
482,275,2008.0,0,2,2953.0,156,4.24
483,1738,2017.0,1,0,2982.0,168.5,28.42
484,1823,2012.0,1,0,1199.0,73.9,2.75
485,1092,2011.0,1,0,1248.0,73.94,3.0
486,1379,2013.0,1,0,1461.0,63.1,3.55
487,633,2013.0,1,0,1582.0,126.32,4.8
488,96,2011.0,0,0,2497.0,150,13.5
489,1295,2017.0,0,0,2987.0,258,56.0
490,403,2004.0,0,0,2354.0,187.4,3.99
491,510,2016.0,0,0,1086.0,126.2,15.5
492,691,2010.0,1,2,1086.0,68.05,2.32
493,1237,2016.0,0,0,2143.0,136,18.58
494,1061,2014.0,1,0,1373.0,93.7,5.5
495,1501,2006.0,1,2,1896.0,66,3.2
496,380,2015.0,1,0,1198.0,86.7,4.0
497,1230,2004.0,1,0,993.0,60,1.6
498,1115,2013.0,1,0,1586.0,103.3,4.15
499,396,2014.0,0,0,1198.0,86.8,4.25
500,1207,2011.0,1,0,998.0,67.1,2.6
501,1671,2008.0,0,2,2362.0,164.7,3.43
502,169,2012.0,1,0,1199.0,79.4,2.55
503,1737,2017.0,0,0,2982.0,168.5,32.0
504,258,2014.0,1,0,1498.0,89.84,6.25
505,1171,2010.0,1,2,1248.0,75,3.6
506,1335,2010.0,0,0,2987.0,282,18.5
507,495,2015.0,1,2,1497.0,117.3,4.25
508,577,2017.0,1,2,1197.0,82,4.8
509,915,2015.0,0,0,2179.0,140,13.0
510,1477,2012.0,1,2,1598.0,105,2.25
511,597,2009.0,1,0,1086.0,62.1,2.3
512,519,2019.0,1,0,1591.0,121.3,13.56
513,865,2017.0,1,0,1997.0,120,12.25
514,1534,2013.0,1,0,1598.0,103.5,3.76
515,1434,2015.0,1,0,1461.0,108.45,8.58
516,149,2011.0,0,0,2993.0,245,27.5
517,1709,2013.0,1,0,1496.0,88.73,4.95
518,1196,2012.0,1,0,998.0,67.04,3.3
519,513,2016.0,1,0,1591.0,121.3,8.0
520,1003,2014.0,1,0,998.0,67.04,2.79
521,820,2017.0,0,0,2179.0,187.7,45.64
522,170,2014.0,1,0,1199.0,76.8,2.55
523,1623,2014.0,1,2,624.0,37.5,1.0
524,32,2017.0,0,0,1968.0,174.33,37.56
525,1269,2009.0,0,2,2987.0,198.5,9.29
526,1165,2019.0,1,0,1197.0,81.8,6.37
527,222,2013.0,1,0,1368.0,112,2.98
528,1169,2017.0,1,0,1197.0,81.8,5.75
529,1731,2010.0,1,0,2982.0,171,13.0
530,1066,2014.0,1,0,1373.0,93.7,6.8
531,87,2010.0,0,0,1995.0,154,10.49
532,1061,2014.0,1,0,1373.0,93.7,5.6
533,420,2010.0,0,2,2199.0,118,2.85
534,581,2013.0,1,0,2199.0,194.3,8.36
535,1592,2005.0,1,0,1405.0,70,1.0
536,1252,2010.0,0,2,2497.0,204,10.75
537,1130,2011.0,1,0,1248.0,73.9,3.85
538,297,2012.0,1,0,1399.0,67,3.0
539,446,2015.0,0,0,1497.0,117.3,9.6
540,1736,2012.0,1,0,2982.0,168.5,13.25
541,376,2016.0,1,0,1198.0,86.7,5.75
